"variable","categories","pages","files"
"Afghanistan‎",NA,1,NA
"Albania‎",3,7,NA
"Algeria‎",NA,17,NA
"Andorra‎",NA,1,NA
"Angola‎",18,1,NA
"Argentina‎",10,42,NA
"Armenia‎",1,3,NA
"Aruba‎",NA,NA,NA
"Australia‎",10,62,NA
"Austria‎",11,164,17
"Azerbaijan‎",NA,NA,NA
"Bahrain‎",NA,NA,NA
"Belarus‎",3,14,NA
"Belgium‎",3,199,NA
"Belize‎",NA,2,NA
"Benin‎",NA,5,NA
"Bhutan‎",NA,NA,NA
"Bolivia‎",5,8,NA
"Bosnia and Herzegovina‎",2,11,NA
"Brazil‎",28,83,NA
"Bulgaria‎",5,16,NA
"Burkina Faso‎",NA,2,NA
"Burundi‎",NA,NA,NA
"Cambodia‎",NA,2,NA
"Canada‎",10,132,NA
"Cape Verde‎",NA,2,NA
"the Catalan Countries‎",NA,1,NA
"Central African Republic‎",NA,NA,NA
"Chad‎",NA,NA,NA
"Chile‎",2,9,NA
"China‎",13,34,NA
"Colombia‎",7,25,NA
"the Democratic Republic of the Congo‎",NA,21,NA
"Congo-Brazzaville‎",NA,1,NA
"Costa Rica‎",2,10,NA
"Côte d'Ivoire‎",NA,1,NA
"Croatia‎",13,36,NA
"Cuba‎",NA,4,NA
"Curaçao‎",NA,NA,NA
"Cyprus‎",3,3,NA
"the Czech Republic‎",5,30,NA
"Denmark‎",16,64,NA
"the Dominican Republic‎",1,2,NA
"East Timor‎",NA,2,NA
"Ecuador‎",1,8,NA
"Egypt‎",NA,10,NA
"El Salvador‎",NA,NA,NA
"Estonia‎",4,24,NA
"Eswatini‎",NA,NA,NA
"Ethiopia‎",NA,1,NA
"Finland‎",20,101,NA
"France‎",6,661,NA
"Georgia‎",NA,3,NA
"Germany‎",17,887,NA
"Ghana‎",NA,4,NA
"Greece‎",8,45,NA
"Guatemala‎",1,6,NA
"Guernsey‎",NA,NA,NA
"Guinea-Bissau‎",NA,1,NA
"Guyana‎",1,1,NA
"Haiti‎",2,17,NA
"Honduras‎",1,1,NA
"Hungary‎",2,49,NA
"Iceland‎",3,9,NA
"India‎",4,78,NA
"Indonesia‎",2,13,NA
"Iran‎",2,16,NA
"Iraq‎",3,1,NA
"Ireland‎",3,60,NA
"the Isle of Man‎",NA,NA,NA
"Israel‎",2,12,NA
"Italy‎",1,391,NA
"Jamaica‎",NA,NA,NA
"Japan‎",3,47,NA
"Jersey‎",NA,NA,NA
"Kazakhstan‎",2,2,NA
"Kenya‎",1,2,NA
"Kosovo‎",1,2,NA
"Kyrgyzstan‎",NA,NA,NA
"Laos‎",2,6,NA
"Latvia‎",2,18,NA
"Lebanon‎",NA,14,NA
"Lesotho‎",NA,3,NA
"Lithuania‎",1,6,NA
"Luxembourg‎",1,18,NA
"Macedonia‎",NA,1,NA
"Madagascar‎",2,9,NA
"Malaysia‎",NA,4,NA
"Mali‎",NA,NA,NA
"Malta‎",NA,1,NA
"Mauritius‎",NA,NA,NA
"Mexico‎",8,33,NA
"Moldova‎",1,6,NA
"Mongolia‎",NA,NA,NA
"Montenegro ‎",NA,1,NA
"Morocco‎",1,6,NA
"Mozambique‎",11,NA,NA
"Myanmar‎",NA,1,NA
"Nepal‎",2,8,NA
"the Netherlands‎",3,197,NA
"New Zealand‎",6,43,NA
"Nicaragua‎",1,14,NA
"Niger‎",NA,1,NA
"Nigeria‎",1,2,NA
"Northern Cyprus‎",NA,1,NA
"Norway‎",6,125,NA
"Pakistan‎",4,10,NA
"Palestine‎",NA,1,NA
"Panama‎",1,3,NA
"Paraguay‎",4,1,NA
"Peru‎",3,12,NA
"the Philippines‎",2,17,NA
"Poland‎",64,186,NA
"Portugal‎",4,27,NA
"Puerto Rico‎",NA,1,NA
"Qatar‎",NA,3,NA
"Romania‎",16,27,NA
"Russia‎",39,149,NA
"Rwanda‎",1,NA,NA
"Saudi Arabia‎",1,5,NA
"Serbia‎",12,17,NA
"Singapore‎",NA,9,NA
"Sint Maarten‎",NA,NA,NA
"Slovakia‎",1,26,NA
"Slovenia‎",3,14,2
"Somalia‎",NA,NA,NA
"South Africa‎",3,21,NA
"South Korea‎",3,7,NA
"Spain‎",20,187,NA
"Sri Lanka‎",4,14,NA
"Sudan‎",NA,1,NA
"Sweden‎",20,138,NA
"Switzerland‎",26,185,NA
"Syria‎",1,6,NA
"Taiwan‎",7,20,NA
"Tanzania‎",7,3,NA
"Thailand‎",2,26,NA
"Togo‎",2,NA,NA
"Tonga‎",NA,NA,NA
"Trinidad and Tobago‎",NA,2,NA
"Tunisia‎",1,24,NA
"Turkey‎",8,36,NA
"Turkmenistan‎",NA,NA,NA
"Uganda‎",NA,3,NA
"Ukraine‎",27,58,NA
"United Arab Emirates‎",NA,1,NA
"the United Kingdom‎",4,301,NA
"the United States‎",51,436,NA
"Uruguay‎",2,14,NA
"United States of America‎",NA,3,NA
"Uzbekistan‎",NA,1,NA
"Venezuela‎",3,15,NA
"Vietnam‎",1,3,NA
"Yemen‎",NA,2,NA
"Zambia‎",1,1,NA
