"content_raw","language","level","value","categories","pages","files"
"User af-0‎ (1 P)","af","0","1 P",NA,1,NA
"User af-1‎ (2 P)","af","1","2 P",NA,2,NA
"User af-2‎ (2 P)","af","2","2 P",NA,2,NA
"User af-3‎ (1 P)","af","3","1 P",NA,1,NA
"User af-4‎ (1 P)","af","4","1 P",NA,1,NA
"User af-5‎ (1 P)","af","5","1 P",NA,1,NA
"User af-N‎ (3 P)","af","N","3 P",NA,3,NA
"User am-1‎ (1 P)","am","1","1 P",NA,1,NA
"User an-1‎ (1 P)","an","1","1 P",NA,1,NA
"User ar-1‎ (2 C, 8 P)","ar","1","2 C, 8 P",2,8,NA
"User ar-2‎ (1 C, 3 P)","ar","2","1 C, 3 P",1,3,NA
"User ar-3‎ (2 C, 4 P)","ar","3","2 C, 4 P",2,4,NA
"User ar-4‎ (1 C)","ar","4","1 C",1,NA,NA
"User ar-N‎ (10 C, 19 P)","ar","N","10 C, 19 P",10,19,NA
"User ast-1‎ (1 P)","ast","1","1 P",NA,1,NA
"User ast-2‎ (1 P)","ast","2","1 P",NA,1,NA
"User ast-3‎ (1 P)","ast","3","1 P",NA,1,NA
"User ast-4‎ (1 P)","ast","4","1 P",NA,1,NA
"User ast-N‎ (2 P)","ast","N","2 P",NA,2,NA
"User az-2‎ (1 P)","az","2","1 P",NA,1,NA
"User be-1‎ (3 P)","be","1","3 P",NA,3,NA
"User be-2‎ (2 P)","be","2","2 P",NA,2,NA
"User be-3‎ (2 P)","be","3","2 P",NA,2,NA
"User be-N‎ (12 C, 12 P)","be","N","12 C, 12 P",12,12,NA
"User bg-1‎ (8 P)","bg","1","8 P",NA,8,NA
"User bg-2‎ (1 P)","bg","2","1 P",NA,1,NA
"User bg-3‎ (3 P)","bg","3","3 P",NA,3,NA
"User bg-4‎ (1 P)","bg","4","1 P",NA,1,NA
"User bg-N‎ (1 C, 10 P)","bg","N","1 C, 10 P",1,10,NA
"User bjn-N‎ (1 P)","bjn","N","1 P",NA,1,NA
"User bm-1‎ (1 P)","bm","1","1 P",NA,1,NA
"User bn-N‎ (8 P)","bn","N","8 P",NA,8,NA
"User bo-1‎ (1 P)","bo","1","1 P",NA,1,NA
"User br-1‎ (1 P)","br","1","1 P",NA,1,NA
"User bs-1‎ (1 P)","bs","1","1 P",NA,1,NA
"User bs-2‎ (1 P)","bs","2","1 P",NA,1,NA
"User bs-3‎ (3 P)","bs","3","3 P",NA,3,NA
"User bs-4‎ (1 P)","bs","4","1 P",NA,1,NA
"User bs-N‎ (4 P)","bs","N","4 P",NA,4,NA
"User ca-1‎ (7 P)","ca","1","7 P",NA,7,NA
"User ca-2‎ (5 P)","ca","2","5 P",NA,5,NA
"User ca-3‎ (5 P)","ca","3","5 P",NA,5,NA
"User ca-4‎ (1 P)","ca","4","1 P",NA,1,NA
"User ca-N‎ (34 P)","ca","N","34 P",NA,34,NA
"User chr-1‎ (2 P)","chr","1","2 P",NA,2,NA
"User cr-2‎ (1 P)","cr","2","1 P",NA,1,NA
"User cr-N‎ (1 P)","cr","N","1 P",NA,1,NA
"User cs-1‎ (4 P)","cs","1","4 P",NA,4,NA
"User cs-2‎ (3 P)","cs","2","3 P",NA,3,NA
"User cs-3‎ (6 P)","cs","3","6 P",NA,6,NA
"User cs-4‎ (1 P)","cs","4","1 P",NA,1,NA
"User cs-N‎ (23 P)","cs","N","23 P",NA,23,NA
"User cu-2‎ (1 P)","cu","2","1 P",NA,1,NA
"User cy-1‎ (1 P)","cy","1","1 P",NA,1,NA
"User da-1‎ (8 P)","da","1","8 P",NA,8,NA
"User da-2‎ (1 P)","da","2","1 P",NA,1,NA
"User da-3‎ (2 P)","da","3","2 P",NA,2,NA
"User da-N‎ (17 P)","da","N","17 P",NA,17,NA
"User de-1‎ (7 C, 146 P)","de","1","7 C, 146 P",7,146,NA
"User de-2‎ (3 C, 99 P)","de","2","3 C, 99 P",3,99,NA
"User de-3‎ (4 C, 58 P)","de","3","4 C, 58 P",4,58,NA
"User de-4‎ (6 C, 37 P)","de","4","6 C, 37 P",6,37,NA
"User de-5‎ (6 P)","de","5","6 P",NA,6,NA
"User de-N‎ (12 C, 957 P)","de","N","12 C, 957 P",12,957,NA
"User el-1‎ (1 C, 4 P)","el","1","1 C, 4 P",1,4,NA
"User el-2‎ (1 P)","el","2","1 P",NA,1,NA
"User el-4‎ (3 P)","el","4","3 P",NA,3,NA
"User el-5‎ (1 P)","el","5","1 P",NA,1,NA
"User el-N‎ (3 P)","el","N","3 P",NA,3,NA
"User eml-1‎ (1 P)","eml","1","1 P",NA,1,NA
"User en-0‎ (2 P)","en","0","2 P",NA,2,NA
"User en-1‎ (8 C, 227 P)","en","1","8 C, 227 P",8,227,NA
"User en-2‎ (14 C, 647 P)","en","2","14 C, 647 P",14,647,NA
"User en-3‎ (21 C, 939 P)","en","3","21 C, 939 P",21,939,NA
"User en-4‎ (16 C, 204 P)","en","4","16 C, 204 P",16,204,NA
"User en-5‎ (58 P)","en","5","58 P",NA,58,NA
"User en-N‎ (30 C, 281 P)","en","N","30 C, 281 P",30,281,NA
"User eo-1‎ (22 P)","eo","1","22 P",NA,22,NA
"User eo-2‎ (15 P)","eo","2","15 P",NA,15,NA
"User eo-3‎ (6 P)","eo","3","6 P",NA,6,NA
"User eo-4‎ (2 P)","eo","4","2 P",NA,2,NA
"User es-1‎ (6 C, 161 P)","es","1","6 C, 161 P",6,161,NA
"User es-2‎ (4 C, 64 P)","es","2","4 C, 64 P",4,64,NA
"User es-3‎ (2 C, 45 P)","es","3","2 C, 45 P",2,45,NA
