name,code_2,code_3
Afar,aa,aar
Abkhazian,ab,abk
Avestan,ae,ave
Afrikaans,af,afr
Akan,ak,aka
Amharic,am,amh
Aragonese,an,arg
Arabic,ar,ara
Assamese,as,asm
Avaric,av,ava
Aymara,ay,aym
Azerbaijani,az,aze
Bashkir,ba,bak
Belarusian,be,bel
Bulgarian,bg,bul
Bihari languages,bh,bih
Bislama,bi,bis
Bambara,bm,bam
Bengali,bn,ben
Tibetan,bo,tib
Breton,br,bre
Bosnian,bs,bos
Catalan; Valencian,ca,cat
Chechen,ce,che
Chamorro,ch,cha
Corsican,co,cos
Cree,cr,cre
Czech,cs,cze
"Church Slavic; Slavonic;
Old Bulgarian",cu,chu
Chuvash,cv,chv
Welsh,cy,wel
Danish,da,dan
German,de,ger
Divehi; Dhivehi; Maldivian,dv,div
Dzongkha,dz,dzo
Ewe,ee,ewe
"Greek, Modern (1453-)",el,gre
English,en,eng
Esperanto,eo,epo
Spanish; Castilian,es,spa
Estonian,et,est
Basque,eu,baq
Persian,fa,per
Fulah,ff,ful
Finnish,fi,fin
Fijian,fj,fij
Faroese,fo,fao
French,fr,fre
Western Frisian,fy,fry
Irish,ga,gle
Gaelic; Scottish Gaelic,gd,gla
Galician,gl,glg
Guarani,gn,grn
Gujarati,gu,guj
Manx,gv,glv
Hausa,ha,hau
Hebrew,he,heb
Hindi,hi,hin
Hiri Motu,ho,hmo
Croatian,hr,hrv
Haitian; Haitian Creole,ht,hat
Hungarian,hu,hun
Armenian,hy,arm
Herero,hz,her
Interlingua,ia,ina
Indonesian,id,ind
Interlingue; Occidental,ie,ile
Igbo,ig,ibo
Sichuan Yi; Nuosu,ii,iii
Inupiaq,ik,ipk
Ido,io,ido
Icelandic,is,ice
Italian,it,ita
Inuktitut,iu,iku
Japanese,ja,jpn
Javanese,jv,jav
Georgian,ka,geo
Kongo,kg,kon
Kikuyu; Gikuyu,ki,kik
Kuanyama; Kwanyama,kj,kua
Kazakh,kk,kaz
Kalaallisut; Greenlandic,kl,kal
Central Khmer,km,khm
Kannada,kn,kan
Korean,ko,kor
Kanuri,kr,kau
Kashmiri,ks,kas
Kurdish,ku,kur
Komi,kv,kom
Cornish,kw,cor
Kirghiz; Kyrgyz,ky,kir
Latin,la,lat
Luxembourgish; Letzeburgesch,lb,ltz
Ganda,lg,lug
Limburgan; Limburger; Limburgish,li,lim
Lingala,ln,lin
Lao,lo,lao
Lithuanian,lt,lit
Luba-Katanga,lu,lub
Latvian,lv,lav
Malagasy,mg,mlg
Marshallese,mh,mah
Maori,mi,mao
Macedonian,mk,mac
Malayalam,ml,mal
Mongolian,mn,mon
Marathi,mr,mar
Malay,ms,may
Maltese,mt,mlt
Burmese,my,bur
Nauru,na,nau
Norwegian Bokmål,nb,nob
"Ndebele, North; North Ndebele",nd,nde
Nepali,ne,nep
Ndonga,ng,ndo
Dutch; Flemish,nl,dut
Norwegian Nynorsk,nn,nno
Norwegian,no,nor
"Ndebele, South; South Ndebele",nr,nbl
Navajo; Navaho,nv,nav
Chichewa; Chewa; Nyanja,ny,nya
Occitan (post 1500),oc,oci
Ojibwa,oj,oji
Oromo,om,orm
Oriya,or,ori
Ossetian; Ossetic,os,oss
Panjabi; Punjabi,pa,pan
Pali,pi,pli
Polish,pl,pol
Pushto; Pashto,ps,pus
Portuguese,pt,por
Quechua,qu,que
Romansh,rm,roh
Rundi,rn,run
Romanian; Moldavian; Moldovan,ro,rum
Russian,ru,rus
Kinyarwanda,rw,kin
Sanskrit,sa,san
Sardinian,sc,srd
Sindhi,sd,snd
Northern Sami,se,sme
Sango,sg,sag
Sinhala; Sinhalese,si,sin
Slovak,sk,slo
Slovenian,sl,slv
Samoan,sm,smo
Shona,sn,sna
Somali,so,som
Albanian,sq,alb
Serbian,sr,srp
Swati,ss,ssw
"Sotho, Southern",st,sot
Sundanese,su,sun
Swedish,sv,swe
Swahili,sw,swa
Tamil,ta,tam
Telugu,te,tel
Tajik,tg,tgk
Thai,th,tha
Tigrinya,ti,tir
Turkmen,tk,tuk
Tagalog,tl,tgl
Tswana,tn,tsn
Tonga (Tonga Islands),to,ton
Turkish,tr,tur
Tsonga,ts,tso
Tatar,tt,tat
Twi,tw,twi
Tahitian,ty,tah
Uighur; Uyghur,ug,uig
Ukrainian,uk,ukr
Urdu,ur,urd
Uzbek,uz,uzb
Venda,ve,ven
Vietnamese,vi,vie
Volapük,vo,vol
Walloon,wa,wln
Wolof,wo,wol
Xhosa,xh,xho
Yiddish,yi,yid
Yoruba,yo,yor
Zhuang; Chuang,za,zha
Chinese,zh,chi
Zulu,zu,zul
